RunSeed,Seed,packetSize,N,d,sigma,Algoritmo,Radius,nDevices,appPeriodsSeconds,batteryVoltage,batteryEnergyInit,hours,TxPowerdBm,PHYTotal,PHYSuccessful,PHYInterfered,PHYNoMoreReceivers,PHYUnderSensitivity,PHYLostBecauseTX,batteryEnergyFinal
2314927680,1,23,3.08,11.3,0,6,4000,1000,600,3.3,10000,2,9,12000,11537,463,0,0,0,9999.85
2314927680,1,23,3.08,11.3,0,6,5000,1000,600,3.3,10000,2,9,12000,11537,463,0,0,0,9999.85
2314927680,1,23,3.08,11.3,0,6,6000,1000,600,3.3,10000,2,9,12000,11537,463,0,0,0,9999.85
2314927680,1,23,3.08,11.3,0,6,8000,1000,600,3.3,10000,2,9,12000,11537,463,0,0,0,9999.85
2314927680,1,23,3.08,11.3,0,6,1000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,2000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,3000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,4000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,5000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,6000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,8000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,6,10000,1000,600,3.3,10000,2,14,12000,11537,463,0,0,0,9999.81
2314927680,1,23,3.08,11.3,0,3,1000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,2000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,3000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,4000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,5000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,6000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,8000,1000,600,3.3,10000,2,3,12000,10935,939,126,0,0,9999.22
2314927680,1,23,3.08,11.3,0,3,1000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,2000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,3000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,4000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,5000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,6000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,8000,1000,600,3.3,10000,2,6,12000,10935,939,126,0,0,9999.15
2314927680,1,23,3.08,11.3,0,3,1000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,2000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,3000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,4000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,5000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,6000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,8000,1000,600,3.3,10000,2,9,12000,10935,939,126,0,0,9999.06
2314927680,1,23,3.08,11.3,0,3,1000,1000,600,3.3,10000,2,14,12000,10935,939,126,0,0,9998.75
2314927680,1,23,3.08,11.3,0,3,2000,1000,600,3.3,10000,2,14,12000,10935,939,126,0,0,9998.75
2314927680,1,23,3.08,11.3,0,3,3000,1000,600,3.3,10000,2,14,12000,10935,939,126,0,0,9998.75
2314927680,1,23,3.08,11.3,0,3,4000,1000,600,3.3,10000,2,14,12000,10935,939,126,0,0,9998.75
